txn_id,timestamp,sender_bank,sender_account,receiver_bank,upi_app,amount,status,merchant,city,category
UPI000028,2026-01-30 09:03:00,ICICI,ACC69929,ICICI,PhonePe,35812.43,SUCCESS,"Swaminathan, Narayanan and Saini",Rajkot,Bills
UPI000029,2026-01-24 00:33:00,ICICI,ACC27361,ICICI,PhonePe,28154.05,FAILED,Borra Ltd,Nagpur,Shopping
UPI000030,2026-01-30 18:18:00,Kotak,ACC11025,PNB,AmazonPay,21914.85,PENDING,"Goyal, Roy and Suri",Proddatur,Food
UPI000031,2026-01-26 04:16:00,HDFC,ACC45697,ICICI,AmazonPay,6723.21,FAILED,"Sura, Mann and Cherian",Buxar,Shopping
UPI000032,2026-01-03 07:29:00,SBI,ACC93136,Axis,Paytm,31715.56,SUCCESS,Bajaj and Sons,Suryapet,Food
UPI000033,2026-01-21 02:36:00,Kotak,ACC66057,Kotak,PhonePe,6549.67,SUCCESS,Vasa LLC,Hospet,Food
UPI000034,2026-01-17 19:16:00,Kotak,ACC82420,HDFC,BHIM,34554.07,FAILED,Raju LLC,Kolkata,Food
UPI000035,2026-01-17 06:49:00,HDFC,ACC99399,HDFC,PhonePe,44950.08,PENDING,Devi-Bajwa,Visakhapatnam,Transfer
UPI000036,2026-01-11 18:34:00,BOB,ACC31299,BOB,GPay,20324.81,REVERSED,"Gole, Deshmukh and Rege",Buxar,Food
UPI000037,2026-01-12 07:03:00,ICICI,ACC30866,BOB,PhonePe,46225.12,REVERSED,Majumdar LLC,Satna,Food
UPI000038,2026-01-14 21:20:00,BOB,ACC39831,HDFC,PhonePe,11129.46,FAILED,Chaudhry-Walia,Kavali,Bills
UPI000039,2026-01-30 04:40:00,Kotak,ACC62386,PNB,AmazonPay,43219.0,PENDING,Sane Inc,Bhind,Food
UPI000040,2026-01-13 01:57:00,SBI,ACC24208,Kotak,BHIM,48520.33,PENDING,"Bhagat, Oza and Som",Jaunpur,Shopping
UPI000041,2026-01-09 15:37:00,ICICI,ACC15817,PNB,BHIM,49211.95,SUCCESS,Mani-Dasgupta,Vadodara,Transfer
UPI000042,2026-01-09 23:12:00,ICICI,ACC66531,SBI,Paytm,26927.22,PENDING,Madan PLC,Tadepalligudem,Food
UPI000043,2026-01-19 07:31:00,PNB,ACC48752,Kotak,GPay,15023.11,FAILED,"Pant, Mangal and Ramanathan",Dibrugarh,Bills
UPI000044,2026-01-26 21:36:00,ICICI,ACC63225,Kotak,PhonePe,18963.47,PENDING,"Wable, Ganesan and Srinivasan",Aizawl,Shopping
UPI000045,2026-01-21 02:32:00,Axis,ACC98555,HDFC,AmazonPay,39290.08,REVERSED,Nagy-Loke,Motihari,Transport
UPI000046,2026-01-05 06:00:00,BOB,ACC40784,PNB,Paytm,14196.48,FAILED,Bali PLC,Malegaon,Transport
UPI000047,2026-01-04 07:32:00,Axis,ACC64321,PNB,AmazonPay,2320.22,FAILED,Choudhry Ltd,Fatehpur,Bills
UPI000048,2026-01-05 20:25:00,BOB,ACC65724,HDFC,GPay,-12206.78,REVERSED,Prakash-Khurana,Amroha,Food
UPI000049,2026-01-22 03:30:00,PNB,ACC79616,Kotak,AmazonPay,45874.33,PENDING,"Trivedi, Suresh and Ben",Cuttack,Bills
UPI000050,2026-01-25 22:25:00,Axis,ACC30861,PNB,BHIM,35966.51,REVERSED,Iyengar-Jaggi,Muzaffarnagar,Shopping
UPI000051,2026-01-23 01:18:00,PNB,ACC41358,ICICI,BHIM,41994.75,SUCCESS,Ramakrishnan and Sons,Bahraich,Shopping
UPI000052,2026-01-07 20:44:00,HDFC,ACC60205,PNB,GPay,16799.02,FAILED,Chawla-Sule,Ongole,Food
UPI000053,2026-01-20 02:54:00,Axis,ACC86556,PNB,PhonePe,16550.76,REVERSED,Divan and Sons,Shivpuri,Bills
UPI000054,2026-01-20 01:40:00,Kotak,ACC81582,BOB,AmazonPay,17594.42,FAILED,Agate Ltd,Indore,Bills
UPI000055,2026-01-16 07:08:00,PNB,ACC99016,BOB,BHIM,,FAILED,"Sachdeva, Sarma and Peri",Aligarh,Bills
UPI000056,2026-01-27 22:30:00,Kotak,ACC96900,SBI,PhonePe,49036.29,REVERSED,Seth-Chawla,Thoothukudi,Transport
UPI000057,2026-01-21 16:39:00,ICICI,ACC54236,BOB,BHIM,9094.63,PENDING,Sharma LLC,Bulandshahr,Bills
UPI000058,2026-01-25 13:11:00,SBI,ACC55870,HDFC,PhonePe,,SUCCESS,Kala PLC,Ramgarh,Food
UPI000059,2026-01-07 22:26:00,HDFC,ACC26544,Axis,PhonePe,,FAILED,Bawa-Bhatnagar,Kochi,Bills
UPI000060,2026-01-06 05:06:00,BOB,ACC31465,ICICI,PhonePe,38347.24,SUCCESS,Arya and Sons,Siliguri,Shopping
UPI000061,2026-01-10 00:37:00,SBI,ACC87607,PNB,GPay,45402.23,SUCCESS,Toor and Sons,Pudukkottai,Shopping
UPI000062,2026-01-02 20:51:00,ICICI,ACC79827,Axis,Paytm,30024.58,SUCCESS,"Chaudhary, Pradhan and Mammen",Hospet,Transfer
UPI000063,2026-01-20 17:31:00,ICICI,ACC93307,BOB,BHIM,642.48,FAILED,"Kannan, Devan and Chakrabarti",Shimla,Bills
UPI000064,2026-01-25 11:49:00,BOB,ACC73372,Axis,BHIM,26092.12,PENDING,Chander-Swamy,Bhiwandi,Shopping
UPI000065,2026-01-12 02:21:00,BOB,ACC70910,Kotak,AmazonPay,41538.24,REVERSED,"Sane, Rai and Halder",Eluru,Shopping
UPI000066,2026-01-12 18:11:00,ICICI,ACC46655,Kotak,Paytm,42549.13,SUCCESS,Sarkar-Warrior,Latur,Transfer
UPI000067,2026-01-11 22:29:00,PNB,ACC72402,PNB,BHIM,4289.79,REVERSED,"Kadakia, Sant and Nigam",Rohtak,Food
UPI000068,2026-01-27 11:12:00,ICICI,ACC72031,Kotak,AmazonPay,11087.6,PENDING,"Sami, Merchant and Nayar",Rohtak,Bills
UPI000069,2026-01-14 22:54:00,ICICI,ACC40217,SBI,GPay,27523.92,PENDING,Kota LLC,Aizawl,Food
UPI000070,2026-01-23 00:52:00,ICICI,ACC87278,BOB,AmazonPay,47544.37,PENDING,Kari-Peri,Machilipatnam,Food
UPI000071,2026-01-25 07:25:00,HDFC,ACC45954,SBI,PhonePe,14819.36,PENDING,Walla Group,Chennai,Transport
UPI000072,2026-01-13 22:34:00,Axis,ACC72746,Axis,Paytm,-37642.08,FAILED,"Ahluwalia, Pathak and Shroff",Guntakal,Food
UPI000073,2026-01-23 09:07:00,SBI,ACC85631,PNB,PhonePe,43087.53,FAILED,Kapur PLC,Kavali,Transport
UPI000074,2026-01-26 09:33:00,BOB,ACC64548,Kotak,AmazonPay,47456.79,FAILED,Salvi-Krish,Chandigarh,Transfer
UPI000075,2026-01-20 12:23:00,ICICI,ACC84531,Kotak,PhonePe,45426.13,SUCCESS,Uppal LLC,Shahjahanpur,Transport
UPI000076,2026-01-26 02:55:00,SBI,ACC30517,SBI,BHIM,13239.66,REVERSED,Nanda Inc,Coimbatore,Transfer
UPI000077,2026-01-21 15:55:00,SBI,ACC40595,ICICI,AmazonPay,1641.67,FAILED,Sibal-Kulkarni,Katni,Bills
UPI000078,2026-01-07 11:21:00,SBI,ACC17816,HDFC,Paytm,11248.22,PENDING,Toor-Raghavan,Mau,Bills
UPI000079,2026-01-23 18:38:00,Kotak,ACC74722,Axis,PhonePe,34437.01,SUCCESS,Contractor-Kadakia,Nandyal,Bills
UPI000080,2026-01-11 10:02:00,PNB,ACC85392,Kotak,PhonePe,,PENDING,"Bhandari, Sami and Sengupta",Alappuzha,Transfer
UPI000081,2026-01-13 15:49:00,HDFC,ACC86720,Axis,BHIM,37815.88,SUCCESS,"Iyengar, Om and Nair",Tinsukia,Bills
UPI000082,2026-01-16 00:14:00,Axis,ACC74942,ICICI,BHIM,16672.09,SUCCESS,Sekhon-Oommen,Pali,Bills
UPI000083,2026-01-24 10:04:00,BOB,ACC10150,PNB,AmazonPay,12627.42,REVERSED,Lanka Group,Tirunelveli,Bills
UPI000084,2026-01-21 02:49:00,BOB,ACC16764,HDFC,Paytm,25926.79,FAILED,"Dave, Choudhary and Nagarajan",Erode,Shopping
UPI000085,2026-01-28 17:03:00,BOB,ACC41365,PNB,GPay,34915.52,PENDING,Rastogi LLC,Kanpur,Transfer
UPI000086,2026-01-06 03:55:00,Axis,ACC25396,PNB,GPay,20405.45,REVERSED,Deol-Palla,Naihati,Shopping
UPI000087,2026-01-12 02:13:00,Axis,ACC82255,HDFC,BHIM,13678.51,FAILED,Chacko-Merchant,Pali,Transfer
UPI000088,2026-01-19 21:13:00,ICICI,ACC76550,ICICI,PhonePe,43967.52,PENDING,Chaudhari Group,Bathinda,Shopping
UPI000089,2026-01-21 07:44:00,Kotak,ACC73483,ICICI,Paytm,29000.37,REVERSED,"Sandal, Kara and Mann",Bhagalpur,Bills
UPI000090,2026-01-18 10:18:00,HDFC,ACC63841,SBI,Paytm,43481.39,REVERSED,"Sridhar, Bassi and Rastogi",Bathinda,Bills
UPI000091,2026-01-23 13:01:00,SBI,ACC26547,Kotak,AmazonPay,33187.8,PENDING,"Ramachandran, Mall and Kumer",Tadipatri,Food
UPI000092,2026-01-07 13:27:00,Axis,ACC95823,HDFC,PhonePe,22020.91,REVERSED,"Anand, Thaman and Palla",Agra,Shopping
UPI000093,2026-01-25 06:51:00,Axis,ACC51505,PNB,BHIM,34638.3,SUCCESS,Wadhwa Inc,Kanpur,Transfer
UPI000094,2026-01-05 02:43:00,Axis,ACC22903,BOB,PhonePe,31561.74,REVERSED,Dey and Sons,Raebareli,Transport
UPI000095,2026-01-03 13:17:00,ICICI,ACC56984,ICICI,BHIM,,FAILED,"Saha, Khanna and Chauhan",Dewas,Transport
UPI000096,2026-01-04 14:15:00,Kotak,ACC60140,Kotak,GPay,28300.74,REVERSED,Barad LLC,Mango,Transfer
UPI000097,2026-01-01 10:15:00,BOB,ACC70981,ICICI,AmazonPay,23062.88,FAILED,"Merchant, Kannan and Gopal",Pimpri-Chinchwad,Food
UPI000098,2026-01-20 07:27:00,PNB,ACC42780,Axis,Paytm,17284.83,FAILED,"Thakkar, Chhabra and Bakshi",Kurnool,Bills
UPI000099,2026-01-14 11:10:00,PNB,ACC48696,SBI,BHIM,5341.6,PENDING,"Guha, Dani and Kashyap",Mahbubnagar,Food
UPI000100,2026-01-28 14:21:00,PNB,ACC75107,BOB,Paytm,34293.12,FAILED,"Bali, More and Sunder",Hajipur,Transfer
UPI000101,2026-01-31 00:00:00,PNB,ACC27927,PNB,PhonePe,10958.04,SUCCESS,"Shan, Bal and Varghese",Ahmednagar,Shopping
UPI000102,2026-01-14 10:20:00,ICICI,ACC64460,HDFC,GPay,1677.89,FAILED,"Kothari, Kohli and Dutt",Nagercoil,Transfer
UPI000103,2026-01-08 11:43:00,ICICI,ACC73156,BOB,Paytm,18299.22,PENDING,"Verma, Pingle and Merchant",Kolhapur,Food
UPI000104,2026-01-19 02:04:00,BOB,ACC83048,ICICI,PhonePe,3774.22,REVERSED,"Ahluwalia, Malhotra and Gopal",Kanpur,Food
UPI000105,2026-01-12 22:21:00,Kotak,ACC59941,BOB,Paytm,6188.2,SUCCESS,Chadha Group,Jamalpur,Transport
UPI000106,2026-01-28 18:22:00,HDFC,ACC94889,SBI,BHIM,30981.15,PENDING,Varughese-Kar,Mira-Bhayandar,Bills
UPI000107,2026-01-23 10:04:00,SBI,ACC22739,HDFC,AmazonPay,,FAILED,Shanker-Saran,Ranchi,Bills
UPI000108,2026-01-20 01:47:00,Kotak,ACC30253,Axis,PhonePe,33527.61,REVERSED,"Yohannan, Upadhyay and Lanka",Dindigul,Transfer
UPI000109,2026-01-17 20:43:00,HDFC,ACC68115,Axis,GPay,,PENDING,Kant Group,Bhalswa Jahangir Pur,Food
UPI000110,2026-01-03 18:08:00,Axis,ACC46160,HDFC,PhonePe,18373.07,REVERSED,"Sen, Murthy and Sharaf",Nangloi Jat,Food
UPI000111,2026-01-16 04:16:00,HDFC,ACC26505,BOB,AmazonPay,-32088.81,FAILED,Ghose Inc,Alappuzha,Food
UPI000112,2026-01-11 14:29:00,ICICI,ACC29340,BOB,AmazonPay,27714.85,SUCCESS,"Om, Srinivasan and Dugal",Ramagundam,Shopping
UPI000113,2026-01-08 22:35:00,SBI,ACC96646,BOB,PhonePe,7242.95,FAILED,Deep PLC,Cuttack,Food
UPI000114,2026-01-13 01:51:00,SBI,ACC26614,PNB,BHIM,-39423.69,SUCCESS,"Shankar, Dugar and Ravel",Bathinda,Food
UPI000115,2026-01-23 22:19:00,HDFC,ACC90623,SBI,AmazonPay,38903.07,PENDING,Desai-Agrawal,Shimoga,Bills
UPI000116,2026-01-20 09:36:00,PNB,ACC24150,Axis,BHIM,1567.22,SUCCESS,Barad and Sons,Madanapalle,Food
UPI000117,2026-01-27 15:22:00,Kotak,ACC52622,Axis,AmazonPay,7425.21,PENDING,Sagar PLC,Akola,Bills
UPI000118,2026-01-30 19:07:00,PNB,ACC82264,PNB,GPay,21515.66,REVERSED,Chowdhury and Sons,Bijapur,Bills
UPI000119,2026-01-05 07:51:00,ICICI,ACC65936,ICICI,Paytm,20696.54,PENDING,"Chaudhry, Dutt and Sagar",Dewas,Transport
UPI000120,2026-01-20 15:43:00,SBI,ACC58843,BOB,GPay,23718.65,SUCCESS,"Subramaniam, Padmanabhan and Peri",Kumbakonam,Transfer
UPI000121,2026-01-20 05:57:00,BOB,ACC16743,ICICI,AmazonPay,28088.55,PENDING,"Munshi, Pant and Sastry",Agra,Shopping
UPI000122,2026-01-05 22:12:00,ICICI,ACC82910,ICICI,PhonePe,25375.55,PENDING,Talwar-Sood,Rohtak,Transfer
UPI000123,2026-01-29 07:05:00,Kotak,ACC98470,PNB,AmazonPay,21461.33,SUCCESS,"Arora, Nigam and Kata",Burhanpur,Transfer
UPI000124,2026-01-15 01:29:00,ICICI,ACC56009,SBI,GPay,41474.74,FAILED,"Sood, Shanker and Badami",Alwar,Transfer
UPI000125,2026-01-05 04:13:00,PNB,ACC79531,HDFC,BHIM,3488.58,REVERSED,Nagy Group,Bidar,Bills
UPI000126,2026-01-26 19:57:00,Kotak,ACC21135,SBI,GPay,18508.95,FAILED,Kashyap-Mand,Kochi,Transfer
UPI000127,2026-01-28 15:05:00,Axis,ACC64287,ICICI,GPay,4088.26,SUCCESS,Gupta-Master,Bardhaman,Shopping
UPI000128,2026-01-15 00:52:00,SBI,ACC38903,Axis,AmazonPay,14169.49,SUCCESS,Rao PLC,Dhanbad,Food
UPI000129,2026-01-14 04:09:00,ICICI,ACC25726,SBI,BHIM,47266.75,REVERSED,Agrawal-Pant,Loni,Transport
UPI000130,2026-01-17 02:50:00,SBI,ACC62044,BOB,PhonePe,26633.79,REVERSED,Sama-Kapadia,Panchkula,Food
UPI000131,2026-01-19 09:44:00,PNB,ACC93904,Axis,Paytm,3902.35,SUCCESS,Ramakrishnan-Nagarajan,Kumbakonam,Bills
UPI000132,2026-01-17 11:14:00,SBI,ACC67240,BOB,PhonePe,16245.16,FAILED,"Narang, Khosla and Mann",Chandrapur,Bills
UPI000133,2026-01-16 10:50:00,HDFC,ACC53655,BOB,GPay,26202.89,SUCCESS,"Rai, Maharaj and Bali",Asansol,Transfer
UPI000134,2026-01-16 23:29:00,PNB,ACC94599,BOB,GPay,26534.93,FAILED,Rattan Inc,Bhubaneswar,Food
UPI000135,2026-01-30 19:59:00,SBI,ACC33218,BOB,BHIM,9871.62,REVERSED,Rana-Nair,Ratlam,Transfer
UPI000136,2026-01-29 21:54:00,Kotak,ACC52363,BOB,Paytm,22450.77,FAILED,Acharya-Atwal,Jammu,Bills
UPI000137,2026-01-03 13:21:00,ICICI,ACC76497,SBI,Paytm,22115.98,REVERSED,Lala-Hayer,Latur,Bills
UPI000138,2026-01-05 02:37:00,Kotak,ACC87867,Kotak,BHIM,18443.19,REVERSED,Dugal Group,Mysore,Transfer
UPI000139,2026-01-27 00:24:00,PNB,ACC34672,ICICI,AmazonPay,39592.97,REVERSED,Nagar PLC,Surendranagar Dudhrej,Transfer
UPI000140,2026-01-16 15:07:00,PNB,ACC21053,Kotak,GPay,3103.07,SUCCESS,Jain-Goel,Miryalaguda,Transport
UPI000141,2026-01-17 13:28:00,ICICI,ACC47079,Axis,BHIM,49549.39,PENDING,"Deep, Pingle and Kannan",Ramagundam,Transfer
UPI000142,2026-01-26 09:26:00,PNB,ACC60667,ICICI,Paytm,31548.02,FAILED,"Rattan, Goyal and Kannan",Mangalore,Shopping
UPI000143,2026-01-30 20:35:00,PNB,ACC96787,Axis,GPay,33183.97,SUCCESS,Merchant Ltd,Barasat,Shopping
UPI000144,2026-01-24 22:57:00,SBI,ACC94675,PNB,BHIM,32178.23,PENDING,"Baral, Mammen and Wali",Kozhikode,Food
UPI000145,2026-01-23 03:08:00,HDFC,ACC39693,HDFC,GPay,9021.34,SUCCESS,Khurana Inc,Khora ,Shopping
UPI000146,2026-01-24 23:06:00,SBI,ACC96760,ICICI,AmazonPay,5066.03,FAILED,Rana Inc,Ghaziabad,Transfer
UPI000147,2026-01-08 12:48:00,PNB,ACC67366,SBI,BHIM,8120.74,PENDING,"Gera, Mangal and Goel",Jehanabad,Transport
UPI000148,2026-01-11 15:35:00,Kotak,ACC41348,ICICI,BHIM,30533.67,FAILED,"Wali, Mall and Sachdev",Jalna,Shopping
UPI000149,2026-01-18 09:06:00,Kotak,ACC79135,Axis,GPay,28525.27,FAILED,"Patil, Goyal and Mandal",Noida,Transfer
UPI000150,2026-01-26 05:42:00,SBI,ACC77621,BOB,PhonePe,12507.66,PENDING,Khatri and Sons,Firozabad,Food
UPI000151,2026-01-20 21:50:00,SBI,ACC39102,BOB,BHIM,13646.84,PENDING,"Aggarwal, Desai and Pillai",Panipat,Food
UPI000152,2026-01-04 17:08:00,ICICI,ACC39430,SBI,Paytm,19828.73,SUCCESS,"Ratta, Sehgal and Ravel",Thane,Shopping
UPI000153,2026-01-07 07:35:00,BOB,ACC71487,Axis,AmazonPay,6888.6,SUCCESS,Maharaj-Sachdeva,Bhatpara,Food
UPI000056,2026-01-25 00:28:00,Axis,ACC24573,BOB,Paytm,41749.81,FAILED,"Dua, Bhatia and Bath",Phusro,Shopping
UPI000155,2026-01-03 20:36:00,SBI,ACC75513,Kotak,AmazonPay,11929.59,SUCCESS,"Mander, Dugar and Bhatnagar",Amravati,Transfer
UPI000156,2026-01-17 01:22:00,HDFC,ACC84798,Axis,GPay,-35930.03,SUCCESS,Bora-Mittal,Thanjavur,Transfer
UPI000157,2026-01-24 02:27:00,Kotak,ACC12665,Axis,BHIM,3393.29,SUCCESS,Sankar-Subramanian,Begusarai,Bills
UPI000158,2026-01-04 01:47:00,ICICI,ACC41604,PNB,PhonePe,,PENDING,Warrior Ltd,Jorhat,Transport
UPI000159,2026-01-22 03:29:00,PNB,ACC72722,PNB,GPay,27305.23,FAILED,"Thakur, Tank and Bir",Hazaribagh,Food
UPI000160,2026-01-10 04:11:00,SBI,ACC36144,SBI,Paytm,,PENDING,Mistry-Rege,Amritsar,Transfer
UPI000161,2026-01-30 10:35:00,HDFC,ACC47501,ICICI,PhonePe,40772.15,PENDING,Ramesh-Nagy,Firozabad,Shopping
UPI000162,2026-01-18 14:19:00,ICICI,ACC34486,Axis,BHIM,18407.28,PENDING,"Sandhu, Sagar and Nayar",Ozhukarai,Transfer
UPI000163,2026-01-09 05:06:00,Kotak,ACC48504,ICICI,PhonePe,4139.75,SUCCESS,Sampath-Andra,Berhampore,Shopping
UPI000164,2026-01-21 04:51:00,ICICI,ACC68606,SBI,Paytm,15331.73,REVERSED,"Agate, Nagi and Dutta",Gaya,Shopping
UPI000165,2026-01-19 11:41:00,ICICI,ACC77251,BOB,GPay,39575.98,SUCCESS,Chakrabarti LLC,Darbhanga,Transport
UPI000166,2026-01-11 17:46:00,BOB,ACC94562,ICICI,Paytm,33907.66,REVERSED,Sethi PLC,Berhampur,Transfer
UPI000167,2026-01-21 04:54:00,BOB,ACC20077,Kotak,GPay,7680.37,PENDING,Kashyap-Kala,Yamunanagar,Bills
UPI000168,2026-01-09 11:12:00,Axis,ACC77861,Axis,AmazonPay,-13941.7,SUCCESS,"Majumdar, Reddy and Rama",Bally,Shopping
UPI000169,2026-01-23 08:31:00,HDFC,ACC26074,HDFC,PhonePe,35204.85,REVERSED,Sankaran Group,Dhule,Transport
UPI000170,2026-01-15 13:04:00,PNB,ACC55537,PNB,PhonePe,22261.11,PENDING,Naidu Ltd,Jabalpur,Shopping
UPI000171,2026-01-17 10:50:00,Kotak,ACC39391,SBI,GPay,35593.34,FAILED,Mahal-Pingle,Tiruppur,Transport
UPI000172,2026-01-26 02:32:00,HDFC,ACC90209,SBI,PhonePe,1323.94,PENDING,"Kala, Comar and Mitra",Muzaffarnagar,Bills
UPI000173,2026-01-27 03:56:00,SBI,ACC26426,ICICI,PhonePe,35946.29,REVERSED,Narain-Agrawal,Gorakhpur,Bills
UPI000174,2026-01-30 02:49:00,Kotak,ACC33850,BOB,GPay,17232.29,REVERSED,"Mander, Vala and Parekh",Anantapuram,Transfer
UPI000175,2026-01-08 11:50:00,HDFC,ACC52291,PNB,GPay,2780.09,PENDING,Parsa Group,Kota,Transfer
UPI000176,2026-01-26 01:39:00,ICICI,ACC26406,PNB,Paytm,42298.23,SUCCESS,"Chopra, Raman and Buch",Aurangabad,Transfer
UPI000177,2026-01-29 10:05:00,PNB,ACC89316,ICICI,AmazonPay,29594.5,SUCCESS,Sur and Sons,Firozabad,Food
UPI000178,2026-01-10 14:15:00,BOB,ACC84991,Axis,AmazonPay,47427.86,SUCCESS,"Sachar, Sundaram and Bhagat",Kolhapur,Bills
UPI000179,2026-01-12 03:28:00,BOB,ACC99783,Axis,Paytm,27283.42,REVERSED,Nagy-Iyengar,Belgaum,Food
UPI000180,2026-01-16 11:34:00,Kotak,ACC28830,ICICI,Paytm,7912.44,PENDING,Lata-Joshi,Bahraich,Bills
UPI000181,2026-01-22 05:30:00,SBI,ACC45058,Axis,GPay,18533.3,FAILED,Varty-Mand,Gopalpur,Food
UPI000182,2026-01-08 06:26:00,BOB,ACC52917,Kotak,Paytm,47269.79,FAILED,Bansal-Kant,North Dumdum,Transport
UPI000183,2026-01-02 01:18:00,SBI,ACC61543,Kotak,BHIM,25741.09,FAILED,Kannan LLC,Durg,Transport
UPI000184,2026-01-30 18:37:00,PNB,ACC71680,ICICI,AmazonPay,2442.42,SUCCESS,Chad-Upadhyay,Gwalior,Food
UPI000185,2026-01-17 15:42:00,SBI,ACC62505,SBI,AmazonPay,44123.96,FAILED,"Sengupta, Bajwa and Das",Phagwara,Shopping
UPI000186,2026-01-13 17:31:00,BOB,ACC91689,PNB,AmazonPay,3685.85,SUCCESS,Doctor Ltd,Guwahati,Transport
UPI000187,2026-01-17 15:20:00,BOB,ACC28909,HDFC,AmazonPay,19701.25,REVERSED,Ramaswamy Group,Gorakhpur,Transfer
UPI000188,2026-01-24 15:14:00,Axis,ACC29521,Kotak,AmazonPay,1955.31,FAILED,"Ben, Ramakrishnan and Chana",Nagaon,Shopping
UPI000189,2026-01-14 14:50:00,Kotak,ACC54089,Kotak,AmazonPay,15933.32,REVERSED,"Chatterjee, Viswanathan and Sama",Delhi,Transfer
UPI000190,2026-01-19 22:58:00,Kotak,ACC50327,BOB,PhonePe,40789.28,REVERSED,Ratta Ltd,Avadi,Shopping
UPI000191,2026-01-03 08:05:00,Kotak,ACC72973,HDFC,AmazonPay,39147.37,REVERSED,Panchal LLC,Bongaigaon,Transport
UPI000192,2026-01-09 16:23:00,SBI,ACC67807,ICICI,BHIM,12117.41,FAILED,"Arora, Peri and Palla",Kota,Bills
UPI000193,2026-01-03 20:01:00,PNB,ACC28098,Kotak,GPay,20524.77,PENDING,Sachdev PLC,Anantapuram,Bills
